Numero,Content,Full_Line
1mm,,1mm
7,LF_02 981 250 19MDF 19mm AFQMxB,7 LF_02 981 250 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
8,RG 975 491 5MDF 5mm BxB,8 RG 975 491 5MDF 5mm BxB
2,BC 340 374 19HSP 19mm BxB,2 BC 340 374 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
3,LZ 1978 374 19HSP 19mm BxB,3 LZ 1978 374 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
4,OC 340 374 19HSP 19mm BxB,4 OC 340 374 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
5,RZ 1978 374 19HSP 19mm BxB,5 RZ 1978 374 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
6,VL01 340 337 19HSP 19mm BxB,6 VL01 340 337 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
7,VL02 340 337 19HSP 19mm BxB,7 VL02 340 337 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
8,VL03 340 337 19HSP 19mm BxB,8 VL03 340 337 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
9,VL04 340 337 19HSP 19mm BxB,9 VL04 340 337 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
10,RG 1950 350 5MDF 5mm BxB,10 RG 1950 350 5MDF 5mm BxB
2,BC 1428 374 19HSP 19mm BxB,2 BC 1428 374 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
3,LL01 458.667 330 19HSP 19mm BxB,3 LL01 458.667 330 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
4,LL02 458.667 330 19HSP 19mm BxB,4 LL02 458.667 330 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
5,LL03 458.667 330 19HSP 19mm BxB,5 LL03 458.667 330 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
6,LL04 466.667 237 19HSP 19mm BxB,6 LL04 466.667 237 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
7,LL05 458.667 330 19HSP 19mm BxB,7 LL05 458.667 330 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
8,LL06 458.667 330 19HSP 19mm BxB,8 LL06 458.667 330 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
9,LL07 458.667 330 19HSP 19mm BxB,9 LL07 458.667 330 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
10,LZ 1745 375 19HSP 19mm BxB,10 LZ 1745 375 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
11,OC 1428 354 19HSP 19mm BxB,11 OC 1428 354 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
12,RZ 1745 375 19HSP 19mm BxB,12 RZ 1745 375 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
13,TZ_01 1694 339 19HSP 19mm BxB,13 TZ_01 1694 339 19HSP 19mm BxB
1mm,,1mm
14,TZ_02 1694 339 19HSP 19mm BxB,14 TZ_02 1694 339 19HSP 19mm BxB
1mm,,1mm
15,VL01 460.667 339 19HSP 19mm BxB,15 VL01 460.667 339 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
16,VL02 468.667 339 19HSP 19mm BxB,16 VL02 468.667 339 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
17,VL03 460.667 339 19HSP 19mm BxB,17 VL03 460.667 339 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
18,VL04 468.667 330 19HSP 19mm BxB,18 VL04 468.667 330 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
19,VL05 468.667 330 19HSP 19mm BxB,19 VL05 468.667 330 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
20,Plint Dressing A 1428 18 18Massief_PM018x18PD,20 Plint Dressing A 1428 18 18Massief_PM018x18PD
21,Plint Dressing V 1428 18 18Massief_PM018x18PD,21 Plint Dressing V 1428 18 18Massief_PM018x18PD
22,DR_L01 1100 484.667 19MDF 19mm AFQMxB,22 DR_L01 1100 484.667 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
23,DR_L02 599 484.667 19MDF 19mm AFQMxB,23 DR_L02 599 484.667 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
24,DR_R03 599 484.667 19MDF 19mm AFQMxB,24 DR_R03 599 484.667 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
25,DR_R04 1100 484.667 19MDF 19mm AFQMxB,25 DR_R04 1100 484.667 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
26,DR_R05 599 484.667 19MDF 19mm AFQMxB,26 DR_R05 599 484.667 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
27,RG01 1706 476.167 5MDF 5mm BxB,27 RG01 1706 476.167 5MDF 5mm BxB
28,RG02 1706 487.667 5MDF 5mm BxB,28 RG02 1706 487.667 5MDF 5mm BxB
29,RG03 1706 476.167 5MDF 5mm BxB,29 RG03 1706 476.167 5MDF 5mm BxB
1,BC 493 375 19HSP 19mm BxB,1 BC 493 375 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
2,LL01 491 331 19HSP 19mm BxB,2 LL01 491 331 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
3,LL02 491 331 19HSP 19mm BxB,3 LL02 491 331 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
4,LL03 491 331 19HSP 19mm BxB,4 LL03 491 331 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
5,LZ 2573 376 19HSP 19mm BxB,5 LZ 2573 376 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
6,OC 493 355 19HSP 19mm BxB,6 OC 493 355 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
7,RZ 2573 376 19HSP 19mm BxB,7 RZ 2573 376 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
8,VL01 493 331 19HSP 19mm BxB,8 VL01 493 331 19HSP 19mm BxB
1mm,,1mm
9,VL02 493 375 19HSP 19mm BxB,9 VL02 493 375 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
10,Plint Dressing A 493 18 18Massief_PM018x18PD,10 Plint Dressing A 493 18 18Massief_PM018x18PD
11,Plint Dressing V 493 18 18Massief_PM018x18PD,11 Plint Dressing V 493 18 18Massief_PM018x18PD
12,DR_L01 2545 525 19MDF 19mm AFQMxB,12 DR_L01 2545 525 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
13,RG 1952 505 5MDF 5mm BxB,13 RG 1952 505 5MDF 5mm BxB
1,BC 963.5 337 19HSP 19mm BxB,1 BC 963.5 337 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
2,LZ 564 376 19HSP 19mm BxB,2 LZ 564 376 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
3,OC 963.5 355 19HSP 19mm BxB,3 OC 963.5 355 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
4,RZ 564 376 19HSP 19mm BxB,4 RZ 564 376 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
5,VL 963.5 375 19HSP 19mm BxB,5 VL 963.5 375 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
6,Plint Dressing A 963.5 18 18Massief_PM018x18PD,6 Plint Dressing A 963.5 18 18Massief_PM018x18PD
7,Plint Dressing V 963.5 18 18Massief_PM018x18PD,7 Plint Dressing V 963.5 18 18Massief_PM018x18PD
8,LF_01 1000 243.5 19MDF 19mm AFQMxB,8 LF_01 1000 243.5 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
9,LF_02 1000 243.5 19MDF 19mm AFQMxB,9 LF_02 1000 243.5 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
10,RG 975.5 248.5 5MDF 5mm BxB,10 RG 975.5 248.5 5MDF 5mm BxB
1,BC 965 337 19HSP 19mm BxB,1 BC 965 337 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
2,LZ 564 376 19HSP 19mm BxB,2 LZ 564 376 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
3,OC 965 355 19HSP 19mm BxB,3 OC 965 355 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
4,RZ 564 376 19HSP 19mm BxB,4 RZ 564 376 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
5,VL 965 310 19HSP 19mm BxB,5 VL 965 310 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
6,Plint Dressing A 965 18 18Massief_PM018x18PD,6 Plint Dressing A 965 18 18Massief_PM018x18PD
7,Plint Dressing V 965 18 18Massief_PM018x18PD,7 Plint Dressing V 965 18 18Massief_PM018x18PD
8,LF_03 1000 243.5 19MDF 19mm AFQMxB,8 LF_03 1000 243.5 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
9,Valklep 1000 243.5 19MDF 19mm AFQMxB,9 Valklep 1000 243.5 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
10,RG 977 525 5MDF 5mm BxB,10 RG 977 525 5MDF 5mm BxB
1,BC 966.5 337 19HSP 19mm BxB,1 BC 966.5 337 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
2,LZ 564 376 19HSP 19mm BxB,2 LZ 564 376 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
3,OC 966.5 355 19HSP 19mm BxB,3 OC 966.5 355 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
4,RZ 564 376 19HSP 19mm BxB,4 RZ 564 376 19HSP 19mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
5,VL 966.5 340 19HSP 19mm BxB,5 VL 966.5 340 19HSP 19mm BxB
1mm,,1mm
6,Plint Dressing A 966.5 18 18Massief_PM018x18PD,6 Plint Dressing A 966.5 18 18Massief_PM018x18PD
7,Plint Dressing V 966.5 18 18Massief_PM018x18PD,7 Plint Dressing V 966.5 18 18Massief_PM018x18PD
8,LF_04 1000 243.5 19MDF 19mm AFQMxB,8 LF_04 1000 243.5 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
9,LF_05 1000 243.5 19MDF 19mm AFQMxB,9 LF_05 1000 243.5 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
10,RG 978.5 525 5MDF 5mm BxB,10 RG 978.5 525 5MDF 5mm BxB
1,Plank 453 313 31MDF 31mm BxB,1 Plank 453 313 31MDF 31mm BxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
1,Valse rug 622 467.667 13MDF 13mm BxB,1 Valse rug 622 467.667 13MDF 13mm BxB
1,OC_greep 1001.5 34 19MDF 19mm AFQMxB,1 OC_greep 1001.5 34 19MDF 19mm AFQMxB
1mm,,1mm
2,Rug 1001.5 60 19MDF 19mm AFQMxB,2 Rug 1001.5 60 19MDF 19mm AFQMxB
1mm,,1mm
1,L-greep 1466 70 19MDF 19mm AFQMxB,1 L-greep 1466 70 19MDF 19mm AFQMxB
1mm,,1mm
1x,"70mm breed, 1x 34mm breed","1x 70mm breed, 1x 34mm breed"
1,OC_greep 1003 34 19MDF 19mm AFQMxB,1 OC_greep 1003 34 19MDF 19mm AFQMxB
1mm,,1mm
2,Rug 1003 60 19MDF 19mm AFQMxB,2 Rug 1003 60 19MDF 19mm AFQMxB
1mm,,1mm
1,OC_greep 1004.5 34 19MDF 19mm AFQMxB,1 OC_greep 1004.5 34 19MDF 19mm AFQMxB
1mm,,1mm
2,Rug 1004.5 60 19MDF 19mm AFQMxB,2 Rug 1004.5 60 19MDF 19mm AFQMxB
1mm,,1mm
1,L_greep 1001.5 60 19MDF 19mm AFQMxB,1 L_greep 1001.5 60 19MDF 19mm AFQMxB
1mm,,1mm
1x,"60mm breed, 1x 34mm breed","1x 60mm breed, 1x 34mm breed"
1,L_greep 1003 60 19MDF 19mm AFQMxB,1 L_greep 1003 60 19MDF 19mm AFQMxB
1mm,,1mm
1x,"60mm breed, 1x 34mm breed","1x 60mm breed, 1x 34mm breed"
1,L_greep 1004.5 60 19MDF 19mm AFQMxB,1 L_greep 1004.5 60 19MDF 19mm AFQMxB
1mm,,1mm
1x,"60mm breed, 1x 34mm breed","1x 60mm breed, 1x 34mm breed"
1,L_greep 1001.5 97 19MDF 19mm AFQMxB,1 L_greep 1001.5 97 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1,L_greep 1003 97 19MDF 19mm AFQMxB,1 L_greep 1003 97 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1,L_greep 1004.5 97 19MDF 19mm AFQMxB,1 L_greep 1004.5 97 19MDF 19mm AFQMxB
1mm,,1mm
1mm,,1mm
1,AS 921 206 14Massief_PM___x14ZS uitkiepen 60x12,1 AS 921 206 14Massief_PM___x14ZS uitkiepen 60x12
2,ZS_L 400 206 14Massief_PM___x14ZS,2 ZS_L 400 206 14Massief_PM___x14ZS
3,ZS_R 400 206 14Massief_PM___x14ZS,3 ZS_R 400 206 14Massief_PM___x14ZS
4,Bodem 930 395 13MDF 13mm BxB,4 Bodem 930 395 13MDF 13mm BxB
1,AS 921 206 14Massief_PM___x14ZS uitkiepen 60x12,1 AS 921 206 14Massief_PM___x14ZS uitkiepen 60x12
2,ZS_L 400 206 14Massief_PM___x14ZS,2 ZS_L 400 206 14Massief_PM___x14ZS
3,ZS_R 400 206 14Massief_PM___x14ZS,3 ZS_R 400 206 14Massief_PM___x14ZS
4,Bodem 930 395 13MDF 13mm BxB,4 Bodem 930 395 13MDF 13mm BxB
1,AS 923.5 160 14Massief_PM___x14ZS uitkiepen 60x12,1 AS 923.5 160 14Massief_PM___x14ZS uitkiepen 60x12
2,ZS_L 300 160 14Massief_PM___x14ZS,2 ZS_L 300 160 14Massief_PM___x14ZS
3,ZS_R 300 160 14Massief_PM___x14ZS,3 ZS_R 300 160 14Massief_PM___x14ZS
4,Bodem 932.5 295 13MDF 13mm BxB,4 Bodem 932.5 295 13MDF 13mm BxB
1,AS 923.5 160 14Massief_PM___x14ZS uitkiepen 60x12,1 AS 923.5 160 14Massief_PM___x14ZS uitkiepen 60x12
2,ZS_L 300 160 14Massief_PM___x14ZS,2 ZS_L 300 160 14Massief_PM___x14ZS
3,ZS_R 300 160 14Massief_PM___x14ZS,3 ZS_R 300 160 14Massief_PM___x14ZS
4,Bodem 932.5 295 13MDF 13mm BxB,4 Bodem 932.5 295 13MDF 13mm BxB
1,AS 925 160 14Massief_PM___x14ZS uitkiepen 60x12,1 AS 925 160 14Massief_PM___x14ZS uitkiepen 60x12
2,ZS_L 300 160 14Massief_PM___x14ZS,2 ZS_L 300 160 14Massief_PM___x14ZS
3,ZS_R 300 160 14Massief_PM___x14ZS,3 ZS_R 300 160 14Massief_PM___x14ZS
4,Bodem 934 295 13MDF 13mm BxB,4 Bodem 934 295 13MDF 13mm BxB
1,AS 926.5 160 14Massief_PM___x14ZS uitkiepen 60x12,1 AS 926.5 160 14Massief_PM___x14ZS uitkiepen 60x12
2,ZS_L 300 160 14Massief_PM___x14ZS,2 ZS_L 300 160 14Massief_PM___x14ZS
3,ZS_R 300 160 14Massief_PM___x14ZS,3 ZS_R 300 160 14Massief_PM___x14ZS
4,Bodem 935.5 295 13MDF 13mm BxB,4 Bodem 935.5 295 13MDF 13mm BxB
1,AS 926.5 160 14Massief_PM___x14ZS uitkiepen 60x12,1 AS 926.5 160 14Massief_PM___x14ZS uitkiepen 60x12
2,ZS_L 300 160 14Massief_PM___x14ZS,2 ZS_L 300 160 14Massief_PM___x14ZS
3,ZS_R 300 160 14Massief_PM___x14ZS,3 ZS_R 300 160 14Massief_PM___x14ZS
4,Bodem 935.5 295 13MDF 13mm BxB,4 Bodem 935.5 295 13MDF 13mm BxB
23mm,dik,23mm dik
1,Paslat_Dik 2770 100 23MDF 23mm AFQMxB,1 Paslat_Dik 2770 100 23MDF 23mm AFQMxB
1mm,,1mm
1mm,,1mm
1mm,,1mm
1mm,,1mm
1,Achterpoot 249 32 21Massief_PM032x21OP ZWART,1 Achterpoot 249 32 21Massief_PM032x21OP ZWART
2,Plint L 413 32 21Massief_PM032x21OP ZWART,2 Plint L 413 32 21Massief_PM032x21OP ZWART
3,Plint R 413 32 21Massief_PM032x21OP ZWART,3 Plint R 413 32 21Massief_PM032x21OP ZWART
4,Plint V 943 32 21Massief_PM032x21OP ZWART,4 Plint V 943 32 21Massief_PM032x21OP ZWART
