level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	25	1	1	2	1138	342	113	29	8.449570	Project:
5	1	25	1	1	3	1303	348	620	45	17.889107	(411_MO07199_Hoekdressing
5	1	25	1	1	4	1942	367	10	4	93.193985	-
5	1	25	1	1	5	1972	348	216	45	91.456413	opklapbed
5	1	25	1	1	6	2211	349	94	43	96.085648	(4-7)
5	1	25	1	1	7	3106	312	182	60	92.244644	Nesti
5	1	25	1	1	8	3292	327	81	61	95.954674	ng
3	1	25	2	0	0	145	418	2835	124	-1	
4	1	25	2	1	0	145	418	2835	42	-1	
5	1	25	2	1	1	145	422	37	27	95.519981	N°
5	1	25	2	1	2	339	418	173	42	92.814537	Onderdeel
5	1	25	2	1	3	820	418	154	42	91.391449	Materiaal
5	1	25	2	1	4	1221	423	110	33	91.901207	Lengte
5	1	25	2	1	5	1436	422	129	27	91.598335	Breedte
5	1	25	2	1	6	1636	422	84	27	92.617920	Dikte
5	1	25	2	1	7	1789	423	32	26	90.329956	L1
5	1	25	2	1	8	1907	423	37	26	92.175896	L2
5	1	25	2	1	9	2025	423	33	26	91.413780	B1
5	1	25	2	1	10	2143	423	38	26	86.405991	B2
5	1	25	2	1	11	2198	418	22	42	45.869999	|
5	1	25	2	1	12	2236	429	109	15	72.502190	Productiem.
5	1	25	2	1	13	2759	422	221	34	91.475861	Opmerkingen
4	1	25	2	2	0	159	496	2184	46	-1	
5	1	25	2	2	1	159	506	9	26	95.473831	1
5	1	25	2	2	2	405	506	39	26	96.328354	AZ
5	1	25	2	2	3	781	506	57	26	92.803055	HSP
5	1	25	2	2	4	851	506	94	26	93.165131	23mm
5	1	25	2	2	5	960	506	55	26	92.874718	BxB
5	1	25	2	2	6	1239	506	67	26	96.812782	2571
5	1	25	2	2	7	1431	506	140	26	92.527672	1023.667
5	1	25	2	2	8	1599	492	20	56	86.781944	|
5	1	25	2	2	9	1659	506	34	26	80.001434	23
5	1	25	2	2	10	1711	492	20	56	36.729855	_
5	1	25	2	2	11	1755	496	105	46	0.000000	{finest
5	1	25	2	2	12	1873	496	105	46	0.000000	elk|Fineer
5	1	25	2	2	13	1991	496	105	46	29.496239	eik/Fincer
5	1	25	2	2	14	2066	492	38	56	8.701889	elk)
5	1	25	2	2	15	2110	496	104	46	8.701889	Finer
5	1	25	2	2	16	2187	492	38	56	50.834538	ik]
5	1	25	2	2	17	2238	496	105	46	14.655365	Standard
3	1	25	3	0	0	157	586	2186	54	-1	
4	1	25	3	1	0	157	586	2186	54	-1	
5	1	25	3	1	1	157	601	16	26	96.568939	2
5	1	25	3	1	2	381	601	84	30	91.542976	LZ_01
5	1	25	3	1	3	781	601	57	26	93.055351	HSP
5	1	25	3	1	4	851	601	94	26	91.348083	23mm
5	1	25	3	1	5	960	601	55	26	91.780533	BxB
5	1	25	3	1	6	1239	601	67	26	96.584831	2571
5	1	25	3	1	7	1474	601	53	26	95.812233	510
5	1	25	3	1	8	1659	601	34	26	96.486122	23
5	1	25	3	1	9	1755	586	64	54	94.064629	Finger
5	1	25	3	1	10	1827	590	33	46	53.499405	elk
5	1	25	3	1	11	1873	586	64	54	94.064629	Finger
5	1	25	3	1	12	1945	590	33	46	53.499405	elk
5	1	25	3	1	13	1991	586	64	54	63.264103	Finger
5	1	25	3	1	14	2063	590	33	46	47.483578	elk
5	1	25	3	1	15	2110	586	64	54	86.404594	Finger
5	1	25	3	1	16	2182	590	32	46	52.014984	elk
5	1	25	3	1	17	2238	590	105	46	26.036934	Standard
3	1	25	4	0	0	158	681	2185	54	-1	
4	1	25	4	1	0	158	681	2185	54	-1	
5	1	25	4	1	1	158	695	14	26	96.664276	3
5	1	25	4	1	2	381	695	89	30	84.701553	LZ_02
5	1	25	4	1	3	781	695	57	26	90.733490	HSP
5	1	25	4	1	4	851	695	94	26	91.304314	23mm
5	1	25	4	1	5	960	695	55	26	91.304314	BxB
5	1	25	4	1	6	1239	695	67	26	93.348190	2571
5	1	25	4	1	7	1474	695	53	26	96.151459	510
5	1	25	4	1	8	1659	695	34	26	95.152504	23
5	1	25	4	1	9	1755	681	64	54	92.949570	Finger
5	1	25	4	1	10	1827	685	33	46	69.095444	elk
5	1	25	4	1	11	1873	681	64	54	92.949570	Finger
5	1	25	4	1	12	1945	685	33	46	69.095444	elk
5	1	25	4	1	13	1991	681	64	54	77.683037	Finer
5	1	25	4	1	14	2063	681	33	54	74.871536	eik
5	1	25	4	1	15	2110	681	64	54	88.952438	Finger
5	1	25	4	1	16	2182	685	32	46	45.430710	elk
5	1	25	4	1	17	2238	685	105	46	70.977234	Standaard
3	1	25	5	0	0	156	775	2187	54	-1	
4	1	25	5	1	0	156	775	2187	54	-1	
5	1	25	5	1	1	156	790	18	26	96.997589	4
5	1	25	5	1	2	381	790	89	30	89.243011	LZ_03
5	1	25	5	1	3	781	790	57	26	93.055351	HSP
5	1	25	5	1	4	851	790	94	26	91.348083	23mm
5	1	25	5	1	5	960	790	55	26	91.780533	BxB
5	1	25	5	1	6	1239	790	67	26	96.584831	2571
5	1	25	5	1	7	1473	790	54	26	96.837524	600
5	1	25	5	1	8	1659	790	34	26	96.486122	23
5	1	25	5	1	9	1755	775	64	54	94.064629	Finger
5	1	25	5	1	10	1827	779	33	46	53.499405	elk
5	1	25	5	1	11	1873	775	64	54	94.064629	Finger
5	1	25	5	1	12	1945	779	33	46	53.499405	elk
5	1	25	5	1	13	1991	775	64	54	63.264103	Finger
5	1	25	5	1	14	2063	779	33	46	47.483578	elk
5	1	25	5	1	15	2110	775	64	54	86.404594	Finger
5	1	25	5	1	16	2182	779	32	46	52.014984	elk
5	1	25	5	1	17	2238	779	105	46	26.036934	Standard
3	1	25	6	0	0	158	870	2185	54	-1	
4	1	25	6	1	0	158	870	2185	54	-1	
5	1	25	6	1	1	158	884	15	26	96.663055	5
5	1	25	6	1	2	380	884	93	30	89.171028	RZ_04
5	1	25	6	1	3	781	884	57	26	90.733490	HSP
5	1	25	6	1	4	851	884	94	26	91.304314	23mm
5	1	25	6	1	5	960	884	55	26	91.304314	BxB
5	1	25	6	1	6	1239	884	67	26	93.348190	2571
5	1	25	6	1	7	1473	884	54	26	96.301376	600
5	1	25	6	1	8	1659	884	34	26	95.152504	23
5	1	25	6	1	9	1755	870	64	54	92.949570	Finger
5	1	25	6	1	10	1827	874	33	46	69.095444	elk
5	1	25	6	1	11	1873	870	64	54	92.949570	Finger
5	1	25	6	1	12	1945	874	33	46	69.095444	elk
5	1	25	6	1	13	1991	870	64	54	77.683037	Finer
5	1	25	6	1	14	2063	870	33	54	74.871536	eik
5	1	25	6	1	15	2110	870	64	54	88.952438	Finger
5	1	25	6	1	16	2182	874	32	46	45.430710	elk
5	1	25	6	1	17	2238	874	105	46	70.977234	Standaard
3	1	25	7	0	0	157	968	2880	141	-1	
4	1	25	7	1	0	157	968	2880	46	-1	
5	1	25	7	1	1	157	978	16	26	97.009346	6
5	1	25	7	1	2	360	978	130	30	92.543213	AFWZ_R
5	1	25	7	1	3	742	978	65	26	96.745087	MDF
5	1	25	7	1	4	822	978	91	26	93.000435	19mm
5	1	25	7	1	5	926	978	126	31	92.524994	AFQMxB
5	1	25	7	1	6	1239	978	73	26	96.253838	2636
5	1	25	7	1	7	1473	978	53	26	96.956200	635
5	1	25	7	1	8	1662	978	32	26	34.320976	19
5	1	25	7	1	9	1755	968	105	46	46.723686	|Fincer
5	1	25	7	1	10	1829	964	36	54	5.318565	elk
5	1	25	7	1	11	1873	968	105	46	5.318565	Finger
5	1	25	7	1	12	1946	964	41	54	0.000000	eik}
5	1	25	7	1	13	1991	968	105	46	0.000000	Finger
5	1	25	7	1	14	2110	968	104	46	30.476402	eik)Fineer
5	1	25	7	1	15	2184	964	37	54	68.372726	ek]
5	1	25	7	1	16	2238	982	105	18	0.000000	standard
5	1	25	7	1	17	2705	978	168	26	92.582031	L+B=30mm
5	1	25	7	1	18	2887	980	150	24	92.110527	overmaat
4	1	25	7	2	0	157	1063	2186	46	-1	
5	1	25	7	2	1	157	1073	17	26	97.015327	7
5	1	25	7	2	2	369	1073	108	30	88.646049	DR_LO1
5	1	25	7	2	3	742	1073	65	26	96.289719	MDF
5	1	25	7	2	4	822	1073	91	26	92.859230	19mm
5	1	25	7	2	5	926	1073	126	31	91.675491	AFQMxB
5	1	25	7	2	6	1239	1073	73	26	87.910736	2596
5	1	25	7	2	7	1437	1073	125	26	96.055527	431.667
5	1	25	7	2	8	1662	1073	32	26	58.695229	19
5	1	25	7	2	9	1755	1063	105	46	0.000000	Finer
5	1	25	7	2	10	1830	1059	38	56	36.181053	elk)
5	1	25	7	2	11	1873	1063	105	46	36.181053	Finger
5	1	25	7	2	12	1991	1063	105	46	32.161804	eik/Fineer
5	1	25	7	2	13	2068	1059	29	56	55.547165	elk
5	1	25	7	2	14	2110	1063	104	46	0.000000	Fineet
5	1	25	7	2	15	2185	1059	38	56	0.000000	ek)
5	1	25	7	2	16	2238	1077	105	18	73.693016	standaard
3	1	25	8	0	0	157	1157	2186	46	-1	
4	1	25	8	1	0	157	1157	2186	46	-1	
5	1	25	8	1	1	157	1167	16	26	96.905556	8
5	1	25	8	1	2	369	1167	112	30	92.479553	DR_LO3
5	1	25	8	1	3	742	1167	65	26	96.329720	MDF
5	1	25	8	1	4	822	1167	91	26	92.822571	19mm
5	1	25	8	1	5	926	1167	126	31	92.169441	AFQMxB
5	1	25	8	1	6	1239	1167	73	26	78.891617	2596
5	1	25	8	1	7	1437	1167	125	26	96.325821	431.667
5	1	25	8	1	8	1662	1167	32	26	68.491249	19
5	1	25	8	1	9	1755	1157	105	46	0.039536	Finer
5	1	25	8	1	10	1830	1153	38	56	43.193497	elk)
5	1	25	8	1	11	1873	1157	105	46	43.193497	Finger
5	1	25	8	1	12	1991	1157	105	46	21.346367	eik/Fineer
5	1	25	8	1	13	2068	1153	29	56	62.021709	elk
5	1	25	8	1	14	2110	1157	104	46	0.239731	Fineet
5	1	25	8	1	15	2185	1153	38	56	43.989365	elk)
5	1	25	8	1	16	2238	1171	105	18	74.039932	standaard
3	1	25	9	0	0	157	1252	2186	46	-1	
4	1	25	9	1	0	157	1252	2186	46	-1	
5	1	25	9	1	1	157	1262	16	26	96.880630	9
5	1	25	9	1	2	369	1262	113	30	77.207306	DR_LO5
5	1	25	9	1	3	742	1262	65	26	96.289719	MDF
5	1	25	9	1	4	822	1262	91	26	92.859230	19mm
5	1	25	9	1	5	926	1262	126	31	91.675491	AFQMxB
5	1	25	9	1	6	1239	1262	73	26	87.910736	2596
5	1	25	9	1	7	1439	1262	122	26	94.403572	382.666
5	1	25	9	1	8	1662	1262	32	26	58.695229	19
5	1	25	9	1	9	1755	1252	105	46	0.000000	Finer
5	1	25	9	1	10	1830	1248	38	56	36.181053	elk)
5	1	25	9	1	11	1873	1252	105	46	36.181053	Finger
5	1	25	9	1	12	1991	1252	105	46	32.161804	eik/Fineer
5	1	25	9	1	13	2068	1248	29	56	55.547165	elk
5	1	25	9	1	14	2110	1252	104	46	0.000000	Fineet
5	1	25	9	1	15	2185	1248	38	56	0.000000	ek)
5	1	25	9	1	16	2238	1266	105	18	73.693016	standaard
3	1	25	10	0	0	150	1346	2193	46	-1	
4	1	25	10	1	0	150	1346	2193	46	-1	
5	1	25	10	1	1	150	1356	33	26	96.979271	10
5	1	25	10	1	2	368	1356	115	30	80.273254	DR_RO2
5	1	25	10	1	3	742	1356	65	26	96.329720	MDF
5	1	25	10	1	4	822	1356	91	26	92.822571	19mm
5	1	25	10	1	5	926	1356	126	31	92.169441	AFQMxB
5	1	25	10	1	6	1239	1356	73	26	78.891617	2596
5	1	25	10	1	7	1437	1356	125	26	96.325821	431.667
5	1	25	10	1	8	1662	1356	32	26	68.491249	19
5	1	25	10	1	9	1755	1346	105	46	0.039536	Finer
5	1	25	10	1	10	1830	1342	38	56	43.193497	elk)
5	1	25	10	1	11	1873	1346	105	46	43.193497	Finger
5	1	25	10	1	12	1991	1346	105	46	21.346367	eik/Fineer
5	1	25	10	1	13	2068	1342	29	56	62.021709	elk
5	1	25	10	1	14	2110	1346	104	46	0.239731	Fineet
5	1	25	10	1	15	2185	1342	38	56	43.989365	elk)
5	1	25	10	1	16	2238	1360	105	18	74.039932	standaard
3	1	25	11	0	0	150	1438	2193	55	-1	
4	1	25	11	1	0	150	1438	2193	55	-1	
5	1	25	11	1	1	150	1451	27	26	93.017708	11
5	1	25	11	1	2	368	1438	116	55	42.811554	DR_R0O4
5	1	25	11	1	3	742	1451	65	26	96.289719	MDF
5	1	25	11	1	4	822	1451	91	26	92.859230	19mm
5	1	25	11	1	5	926	1451	126	31	91.675491	AFQMxB
5	1	25	11	1	6	1239	1451	73	26	87.910736	2596
5	1	25	11	1	7	1439	1451	123	26	96.337570	382.667
5	1	25	11	1	8	1662	1451	32	26	58.695229	19
5	1	25	11	1	9	1755	1441	105	46	0.000000	Finer
5	1	25	11	1	10	1830	1437	38	56	36.181053	elk)
5	1	25	11	1	11	1873	1441	105	46	36.181053	Finger
5	1	25	11	1	12	1991	1441	105	46	32.161804	eik/Fineer
5	1	25	11	1	13	2068	1437	29	56	55.547165	elk
5	1	25	11	1	14	2110	1441	104	46	0.000000	Fineet
5	1	25	11	1	15	2185	1437	38	56	0.000000	ek)
5	1	25	11	1	16	2238	1455	105	18	73.693016	standaard
3	1	25	12	0	0	150	1535	2193	46	-1	
4	1	25	12	1	0	150	1535	2193	46	-1	
5	1	25	12	1	1	150	1545	32	26	96.994461	12
5	1	25	12	1	2	368	1545	116	30	37.040779	DR_RO6
5	1	25	12	1	3	742	1545	65	26	96.329720	MDF
5	1	25	12	1	4	822	1545	91	26	92.822571	19mm
5	1	25	12	1	5	926	1545	126	31	92.169441	AFQMxB
5	1	25	12	1	6	1239	1545	73	26	78.891617	2596
5	1	25	12	1	7	1439	1545	122	26	94.785210	382.666
5	1	25	12	1	8	1662	1545	32	26	68.491249	19
5	1	25	12	1	9	1755	1535	105	46	0.039536	Finer
5	1	25	12	1	10	1830	1531	38	56	43.193497	elk)
5	1	25	12	1	11	1873	1535	105	46	43.193497	Finger
5	1	25	12	1	12	1991	1535	105	46	21.346367	eik/Fineer
5	1	25	12	1	13	2068	1531	29	56	62.021709	elk
5	1	25	12	1	14	2110	1535	104	46	0.239731	Fineet
5	1	25	12	1	15	2185	1531	38	56	43.989365	elk)
5	1	25	12	1	16	2238	1549	105	18	74.039932	standaard
3	1	25	13	0	0	150	1630	2193	45	-1	
4	1	25	13	1	0	150	1630	2193	45	-1	
5	1	25	13	1	1	150	1640	32	26	96.976448	13
5	1	25	13	1	2	379	1640	94	26	90.688354	Paslat
5	1	25	13	1	3	742	1640	65	26	96.289719	MDF
5	1	25	13	1	4	822	1640	91	26	92.859230	19mm
5	1	25	13	1	5	926	1640	126	31	91.675491	AFQMxB
5	1	25	13	1	6	1239	1640	73	26	96.998085	2770
5	1	25	13	1	7	1473	1640	54	26	97.014938	200
5	1	25	13	1	8	1662	1640	32	26	45.872322	19
5	1	25	13	1	9	1755	1630	105	45	0.000000	|Finger
5	1	25	13	1	10	1830	1626	38	56	41.896408	elk)
5	1	25	13	1	11	1873	1630	105	45	33.802689	Finger
5	1	25	13	1	12	1991	1630	105	45	15.799675	elk/Finser
5	1	25	13	1	13	2068	1626	29	56	75.474091	elk
5	1	25	13	1	14	2110	1630	104	45	19.404205	Fineer
5	1	25	13	1	15	2185	1626	38	56	5.978249	ek)
5	1	25	13	1	16	2238	1644	105	18	50.976471	standaard
3	1	25	14	0	0	150	1734	2193	31	-1	
4	1	25	14	1	0	150	1734	2193	31	-1	
5	1	25	14	1	1	150	1734	33	26	96.991135	14
5	1	25	14	1	2	405	1734	40	26	96.650665	RG
5	1	25	14	1	3	742	1734	65	26	96.756432	MDF
5	1	25	14	1	4	822	1734	91	26	91.609467	19mm
5	1	25	14	1	5	926	1734	126	31	91.519516	AFQMxB
5	1	25	14	1	6	1239	1734	73	26	96.963005	2118
5	1	25	14	1	7	1450	1734	103	26	96.690735	1007.7
5	1	25	14	1	8	1662	1734	32	26	97.010796	19
5	1	25	14	1	9	2238	1738	105	18	37.221169	Standard
3	1	25	15	0	0	150	1819	2193	45	-1	
4	1	25	15	1	0	150	1819	2193	45	-1	
5	1	25	15	1	1	150	1829	32	26	96.905197	15
5	1	25	15	1	2	385	1829	82	26	96.872993	Front
5	1	25	15	1	3	742	1829	65	26	96.949005	MDF
5	1	25	15	1	4	819	1829	94	26	92.053078	23mm
5	1	25	15	1	5	926	1829	126	31	90.665894	AFQMxB
5	1	25	15	1	6	1239	1829	73	26	95.896744	2086
5	1	25	15	1	7	1473	1829	54	26	96.997215	970
5	1	25	15	1	8	1659	1829	34	26	32.895782	23
5	1	25	15	1	9	1755	1819	105	45	25.712524	|Fincer
5	1	25	15	1	10	1873	1819	105	45	12.654541	elk/Fineer
5	1	25	15	1	11	1991	1819	105	45	0.000000	eik)Fineer
5	1	25	15	1	12	2067	1815	28	55	20.462914	elk
5	1	25	15	1	13	2110	1819	104	45	20.462914	)Fineer
5	1	25	15	1	14	2182	1815	42	55	59.663143	elk)
5	1	25	15	1	15	2238	1819	105	45	29.686935	Staneaard
3	1	25	16	0	0	150	1910	2193	56	-1	
4	1	25	16	1	0	150	1910	2193	56	-1	
5	1	25	16	1	1	150	1923	33	26	96.998764	16
5	1	25	16	1	2	358	1910	130	56	92.961800	AANV_R
5	1	25	16	1	3	776	1923	66	26	95.840256	MDF
5	1	25	16	1	4	855	1923	92	26	92.641190	31mm
5	1	25	16	1	5	963	1923	55	26	91.341858	BxB
5	1	25	16	1	6	1207	1923	140	26	93.161186	1019.917
5	1	25	16	1	7	1472	1923	54	26	96.616989	493
5	1	25	16	1	8	1661	1923	28	26	39.005829	31
5	1	25	16	1	9	1755	1913	105	46	11.637939	|Fineer
5	1	25	16	1	10	1832	1909	30	57	36.358906	clk
5	1	25	16	1	11	2238	1913	105	46	9.594696	Stare
3	1	25	17	0	0	150	2008	2193	45	-1	
4	1	25	17	1	0	150	2008	2193	45	-1	
5	1	25	17	1	1	150	2018	33	26	96.948212	17
5	1	25	17	1	2	407	2018	37	26	96.717033	BC
5	1	25	17	1	3	776	2018	66	26	96.399399	MDF
5	1	25	17	1	4	855	2018	92	26	92.943169	31mm
5	1	25	17	1	5	963	2018	55	26	92.356888	BxB
5	1	25	17	1	6	1214	2018	122	26	96.826241	837.333
5	1	25	17	1	7	1474	2018	52	26	96.898499	509
5	1	25	17	1	8	1661	2018	28	26	27.625580	31
5	1	25	17	1	9	1755	2008	105	45	50.104607	|Fineer
5	1	25	17	1	10	1831	2004	37	55	54.768871	elk)
5	1	25	17	1	11	1873	2008	105	45	22.627022	Finger
5	1	25	17	1	12	1950	2004	33	55	71.918854	elk
5	1	25	17	1	13	2238	2008	105	45	0.000000	Starcaard
3	1	25	18	0	0	150	2102	2193	46	-1	
4	1	25	18	1	0	150	2102	2193	46	-1	
5	1	25	18	1	1	150	2112	33	26	96.920998	18
5	1	25	18	1	2	407	2112	37	26	96.931198	BC
5	1	25	18	1	3	776	2112	66	26	96.564812	MDF
5	1	25	18	1	4	855	2112	92	26	93.193886	31mm
5	1	25	18	1	5	963	2112	55	26	91.814125	BxB
5	1	25	18	1	6	1214	2112	122	26	96.535172	739.333
5	1	25	18	1	7	1474	2112	52	26	96.813362	599
5	1	25	18	1	8	1661	2112	28	26	43.464169	31
5	1	25	18	1	9	1755	2102	105	46	50.185223	[Finer
5	1	25	18	1	10	1829	2098	38	56	31.923126	elk]
5	1	25	18	1	11	1873	2102	105	46	54.844536	Fineer
5	1	25	18	1	12	1946	2098	33	56	86.253288	elk
5	1	25	18	1	13	2238	2102	105	46	30.638535	Standard
3	1	25	19	0	0	150	2197	2193	45	-1	
4	1	25	19	1	0	150	2197	2193	45	-1	
5	1	25	19	1	1	150	2207	32	26	97.014725	19
5	1	25	19	1	2	407	2207	37	26	96.717033	BC
5	1	25	19	1	3	776	2207	66	26	96.399399	MDF
5	1	25	19	1	4	855	2207	92	26	92.943169	31mm
5	1	25	19	1	5	963	2207	55	26	92.356888	BxB
5	1	25	19	1	6	1249	2207	53	26	96.688477	996
5	1	25	19	1	7	1472	2207	55	26	96.378212	420
5	1	25	19	1	8	1661	2207	28	26	27.625580	31
5	1	25	19	1	9	1755	2197	105	45	50.104607	|Fineer
5	1	25	19	1	10	1831	2193	37	55	54.768871	elk)
5	1	25	19	1	11	1873	2197	105	45	22.627022	Finger
5	1	25	19	1	12	1950	2193	33	55	71.918854	elk
5	1	25	19	1	13	2238	2197	105	45	0.000000	Starcaard
2	1	26	0	0	0	116	2266	3275	3	-1	
3	1	26	1	0	0	116	2266	3275	3	-1	
4	1	26	1	1	0	116	2266	3275	3	-1	
5	1	26	1	1	1	116	2266	3275	3	95.000000	 
2	1	27	0	0	0	123	2325	3256	33	-1	
3	1	27	1	0	0	123	2325	3256	33	-1	
4	1	27	1	1	0	123	2325	3256	33	-1	
5	1	27	1	1	1	123	2327	415	30	55.157707	0411_M007199_Hoekdressing
5	1	27	1	1	2	551	2339	6	3	92.811470	-
5	1	27	1	1	3	571	2327	147	30	91.539406	opklapbed
5	1	27	1	1	4	730	2327	64	29	96.722588	(4-7)
5	1	27	1	1	5	3191	2325	73	33	96.664070	Page
5	1	27	1	1	6	3277	2325	16	26	95.932655	2
5	1	27	1	1	7	3306	2325	32	26	96.740578	of
5	1	27	1	1	8	3350	2325	29	26	96.798882	21
