;Materiaal;Dikte;Nerf;Lengte;Breedte;Aantal platen;Referentie;Bemerking;Referentie nummer
78;MDF 17mm AFQMxAFQM;17;H;1800;630;1;630;Reststrook GP00031221;515
79;MDF 17mm AFQMxAFQM;17;H;2300;630;0;630;Reststrook GP00031221;516
80;MDF 17mm AFQMxAFQM;17;H;2800;630;1;630;Reststrook GP00031221;517
81;MDF 19mm EikAwerenxB;19;H;1800;630;6;640;Reststrook GP00031231;518
82;MDF 19mm EikAwerenxB;19;H;2300;630;0;640;Reststrook GP00031231;519
83;MDF 19mm EikAwerenxB;19;H;2800;630;8;640;Reststrook GP00031231;520
84;MDF 23mm AFQMxB;23;H;1800;630;0;660;Reststrook GP00031251;524
85;MDF 23mm AFQMxB;23;H;2300;630;0;660;Reststrook GP00031251;525
86;MDF 23mm AFQMxB;23;H;2800;630;1;660;Reststrook GP00031251;526
87;MDF 23mm AFQMxAFQM;23;H;1800;630;0;661;Reststrook GP00031252;527
88;MDF 23mm AFQMxAFQM;23;H;2300;630;0;661;Reststrook GP00031252;528
89;MDF 23mm AFQMxAFQM;23;H;2800;630;2;661;Reststrook GP00031252;529
90;MDF 23mm BxB;23;H;1800;630;3;662;Reststrook GP00031253;530
91;MDF 23mm BxB;23;H;2300;630;0;662;Reststrook GP00031253;531
92;MDF 23mm BxB;23;H;2800;630;10;662;Reststrook GP00031253;532
93;MDF Zwart 19mm KrakAwxB;19;H;1800;630;1;670;Reststrook GP00031233;533
94;MDF Zwart 19mm KrakAwxB;19;H;2300;630;0;670;Reststrook GP00031233;534
95;MDF Zwart 19mm KrakAwxB;19;H;2800;630;0;670;Reststrook GP00031233;535
96;MDF 31mm AFQMxAFQM;31;H;1800;630;0;666;Reststrook GP00031264;539
97;MDF 31mm AFQMxAFQM;31;H;2300;630;0;666;Reststrook GP00031264;540
98;MDF 31mm AFQMxAFQM;31;H;2800;630;2;666;Reststrook GP00031264;541
99;MDF 31mm BxB;31;H;1800;630;0;667;Reststrook GP00031235;542
100;MDF 31mm BxB;31;H;2300;630;0;667;Reststrook GP00031235;543
101;MDF 31mm BxB;31;H;2800;630;0;667;Reststrook GP00031235;544
102;MDF Zwart 31mm KrakAwxB;31;H;1800;630;0;680;Reststrook GP00031262;545
103;MDF Zwart 31mm KrakAwxB;31;H;2300;630;0;680;Reststrook GP00031262;546
104;MDF Zwart 31mm KrakAwxB;31;H;2800;630;0;680;Reststrook GP00031262;547
105;HSP 17mm BxB;17;H;1800;630;0;710;Reststrook GP00031220;554
106;HSP 17mm BxB;17;H;2300;630;0;710;Reststrook GP00031220;555
107;HSP 17mm BxB;17;H;2800;630;0;710;Reststrook GP00031220;556
108;HSP 19mm BxB;19;H;1800;630;0;720;Reststrook GP00031230;557
109;HSP 19mm BxB;19;H;2300;630;0;720;Reststrook GP00031230;558
110;HSP 19mm BxB;19;H;2800;630;0;720;Reststrook GP00031230;559
111;HSP 23mm BxB;23;H;1800;630;0;730;Reststrook GP00031250;563
112;HSP 23mm BxB;23;H;2300;630;0;730;Reststrook GP00031250;564
113;HSP 23mm BxB;23;H;2800;630;0;730;Reststrook GP00031250;565
114;MDF 19mm AFQMxB;19;H;1800;630;0;650;Reststrook GP00031232;521
115;MDF 19mm AFQMxB;19;H;2300;630;0;650;Reststrook GP00031232;522
116;MDF 19mm AFQMxB;19;H;2800;630;1;650;Reststrook GP00031232;523
117;MDF 19mm AFQMxB;19;H;2800;2070;13;650;GP00031232;650
118;MDF 13mm BxB;13;H;1800;630;0;621;Reststrook GP00031210;551
119;MDF 13mm BxB;13;H;2300;630;0;621;Reststrook GP00031210;552
120;MDF 13mm BxB;13;H;2800;630;1;621;Reststrook GP00031210;553
121;MDF 13mm BxB;13;H;3050;1220;3;621;GP00031210;621
122;MDF Zwart 31mm KrakAwxB;31;H;2800;1240;31;680;GP00031262;681
123;MDF Zwart 31mm KrakAwxB;31;H;2800;830;22;680;GP00031263;682
124;MDF Zwart 19mm NOOTxNOOT;19;H;3050;1270;6;675;GP00031192;675
125;MDF 4mm NOOTxNOOT;4;H;3050;1250;12;602;GP00030992;602
126;MDF Zwart 13mm NOOTxNOOT;13;H;3050;1220;3;624;GP00030993;624
127;Massief Am eik 04;4;H;3000;44;10;;;100055
128;Dummy 19mm;19;H;2800;2070;98;;;100155
129;Dummy 09mm;9;A;2800;2070;89;;;100057
130;Dummy 11mm;11;H;3050;1300;100;;;100058
131;Dummy 29mm;29;H;3050;1300;100;;;100059
132;Dummy 21mm;21;H;3050;1300;100;;;100060
133;Dekplaat MDF 8MM;8;A;2800;2070;22;27;Dekplaat;27
134;Massief Am eik 35;35;H;3050;2070;92;;;100061
135;Basisplaat C Bloom;19;H;1430;704;100;;GB00090662;100062
136;MDF Zwart 19mm KrakAwxB;19;H;1835;800;28;670;Reststrook GP00031233;671
137;BRUT MDF 18MM;18;A;2800;2070;0;132;GP00031190;133
138;Basisplaat Caress;19;H;2431;474;100;;;100063
139;Massief Am eik 05;5;H;3050;120;100;;;100064
140;BRUT MDF 18MM GROEN;18;A;3050;1220;2;134;;134
141;Dekplaat MDF 19MM;19;A;2800;2070;26;28;Dekplaat;28
142;Dummy 18mm;18;A;2800;2070;87;;;100065
143;Dummy 12mm;12;H;2800;2070;95;;;100066
144;Dummy 32mm;32;H;3050;2070;97;;;100067
145;Dummy 28mm;28;H;2800;2070;98;;;100068
146;Dummy 22mm;22;A;2800;2070;88;;;100069
147;MDF 31mm AFQMxB;31;H;2800;2070;3;665;GP00031236;665
148;MULTI 18mm Sokkel;18;A;2440;1220;0;256;;256
149;Dummy 16mm;16;H;2800;1250;98;;;100071
150;Dummy 07mm;7;H;2800;1250;100;;;100072
151;Dummy 13mm;13;H;2800;2070;97;;;100073
152;MULTI 15mm Sokkel;15;A;2440;1220;0;257;;257
153;Dummy 39mm;39;H;2800;2070;99;;;100074
154;Dekplaat HSP 12MM melamine;12;A;2505;1250;0;24;dekplaat;24
155;Dummy 23mm;23;H;2800;2070;95;;;100075
156;Dummy 26mm;26;H;3050;1250;98;;;100076
157;Dummy 31mm;31;H;2800;2070;82;;;100077
158;Dummy 10mm;10;H;3050;1250;79;;;100078
159;Dummy 05mm;5;H;3050;1250;91;;;100079
160;Massief Am eik 08;8;H;3050;1300;100;;;100080
161;MDF 19-18mm Uitval;19;H;2800;2070;84;;;100081
162;MDF 19mm AFQMxB S1-S5;19;H;2550;1250;0;720;;655
163;MDF 23mm NootxNoot;23;H;3050;1250;1;411;GP00030995;411
164;Dummy 30mm;30;A;2800;2070;91;;;100082
165;Dummy 20mm;20;A;3050;2070;99;;;100083
166;Dummy 21mm Glasdeur;21;A;3050;2070;99;;glasdeur;100085
167;Dummy 40mm;40;H;2800;2070;100;;;100099
168;Massief Am eik 03;3;H;3050;1300;100;;;100101
169;Dummy 90mm;90;H;2800;2070;100;;;100102
170;Dummy 51mm;51;H;3520;2070;98;;;100103
171;Dekplaat HSP 12MM;12;A;2800;1240;0;30;dekplaat;30
172;Dummy 03mm;3;H;2800;2070;98;;;100104
173;FineerPlaat AFQMxB 23mm A Intense;23;H;2650;469;24;691;;691
174;Dummy 60mm;60;H;2800;2070;100;;;100105
175;Dummy 56mm;56;H;2800;2070;100;;;100106
176;Dummy 46mm;46;H;2800;2070;100;;;100107
177;Dummy 27mm;27;H;2800;2070;100;;;100108
178;Dummy 36mm;36;H;2800;2070;100;;;100110
179;Dummy 15mm;15;H;2800;2070;96;;;100111
180;Dummy 38mm;38;A;2800;2070;95;;;100112
181;Dummy 34mm;34;H;2800;2070;100;;;100113
182;Dummy 24mm;24;H;2800;2070;100;;;100114
183;Dummy 08mm;8;A;2800;2070;100;;;100115
184;Dummy 41mm;41;H;2800;2070;100;;;100116
185;Dummy 37mm;37;H;2800;2070;100;;;100117
186;Dummy 35mm;35;H;2800;2070;100;;;100118
187;Dummy 33mm;33;H;2800;2070;100;;;100119
188;Dummy 25mm;25;H;2800;2070;96;;;100120
189;Dummy 17mm;17;H;2800;2070;100;;;100121
190;Dummy 14mm;14;H;2800;2070;100;;;100122
191;Dummy 06mm;6;A;2800;2070;84;;;100123
192;Dummy 04mm;4;H;2800;2070;99;;;100124
193;Massief_PM077x10ZL;10;H;1400;77;100;;;100125
194;Massief_PM040x12KL;12;H;1000;40;100;;;100126
195;Massief_PM___x14ZS;14;H;1250;206;96;;;100127
196;Massief_PM090x15AS;15;H;1250;90;100;;;100128
197;Massief_PM106x15ZS;15;H;1250;106;100;;;100129
198;Massief_PM120x15AS;15;H;1250;120;100;;;100130
199;Massief_PM142x15ZS;15;H;1250;142;100;;;100131
200;Massief_PM018x18PD;18;H;2100;18;100;;;100132
201;Massief_PM052x19TT;19;H;2500;52;100;;;100133
202;Massief_PM072x19TG;19;H;1300;72;99;;;100134
203;Massief_PM072x19TT;19;H;2500;72;100;;;100135
204;Massief_PM020x20ML;20;H;2500;20;100;;;100136
205;Massief_PM052x20AV;20;H;1000;52;100;;;100137
206;Massief_PM032x21OP;21;H;3050;32;98;;;100138
207;Massief_PM042x21VT;21;H;1200;42;100;;;100139
208;Massief_PM050x21GV;21;H;1250;50;100;;;100140
209;Massief_PM050x21TS;21;H;1000;50;100;;;100141
210;Massief_PM060x21VT;21;H;2250;60;100;;;100142
211;Massief_PM062x21TT;21;H;2250;62;100;;;100143
212;Massief_PM072x21AT;21;H;2500;72;100;;;100144
213;Massief_PM070x21TT;21;H;2500;70;100;;;100145
214;Massief_PM082x21TB;21;H;2500;82;99;;;100146
215;Massief_PM456x21PP;21;H;1250;465;100;;;100147
216;Massief_PM120x21TB;21;H;2500;120;100;;;100148
217;Massief_PM030x30ML;30;H;2500;30;97;;;100149
218;Massief_PM038x38PT;38;H;600;38;100;;;100150
219;Massief_PM029x07AL;7;H;550;29;100;;;100151
220;Massief_PM052x52VP;52;H;1576;52;100;;;100152
221;MDF Zwart 19mm BxB Japandi;19;H;2800;2070;5;645;GP00031138;645
222;Massief_PM015x15ML;15;H;1500;15;100;;;100153
223;Massief_PM063x05VG;5;H;2900;63;100;;;100154
224;MDF Zwart 31mm KrakAwxB;31;H;910;820;1;680;;10373
225;MDF Zwart 31mm KrakAwxB;31;H;640;1230;1;680;;10374
226;MDF Zwart 31mm KrakAwxB;31;H;2240;340;1;680;;10375
227;Massief_PM045x45SP;45;H;3050;45;100;;;100156
228;MDF Zwart 19mm BxB Japandi;19;H;860;570;1;645;;10429
229;Dummy 02mm;2;H;2800;2070;100;;;100157
230;MDF Zwart 19mm BxB Japandi;19;H;1170;1110;1;645;;10573
231;MDF 31mm AFQMxB;31;H;1800;630;0;665;Reststrook GP00031236;536
232;MDF 31mm AFQMxB;31;H;2300;630;0;665;Reststrook GP00031236;537
233;MDF 31mm AFQMxB;31;H;2800;630;2;665;Reststrook GP00031236;538
234;MDF Zwart 19mm KrakAwxB;19;H;2800;1240;0;670;GP00031233;670
235;Massief_PM035x25VT;25;H;1276;35;100;;bamboe;100160
236;Massief_PM568x21VT;21;H;731;568;100;;Vitri_Br_Deur;100161
237;Massief_PM426x21VT;21;H;1276;426;100;;Vitri_Sm_deur;100162
238;Massief_PM365x21VT;21;H;1276;365;100;;Vitri_Zij;100163
239;Massief_PM032x21KL;21;H;1080;32;100;;Klamp;100164
240;Massief_PM040x26VT;26;H;1240;40;100;;Vitri_Stijl;100165
241;Massief_PM060x20BX;20;H;1000;50;100;;;100166
242;MDF 31mm NOOTxNOOT;31;H;3050;1260;2;669;GP00030996;669
243;Dummy 48mm;48;H;2800;2070;98;;;100167
244;BRUT MDF 18mm ZWART;18;A;3050;2070;98;;;100169
245;MULTI POP 10mm;10;A;2500;1220;5;0;;249
246;MULTI BERK 20mm;20;A;2500;1250;10;254;;254
247;MDF Zwart 31mm KrakAwxB;31;H;770;1240;1;680;;10927
248;MDF Zwart 31mm KrakAwxB;31;H;1610;360;1;680;;10988
249;HSP 28mm BULO;28;H;2800;2070;0;723;;723
250;MDF Zwart 19mm BxB Japandi;19;H;785;1205;1;645;;11040
251;MDF 26mm AFQMxB;26;H;3050;1220;0;664;;664
252;MDF Zwart 31mm KrakAwxB;31;H;570;1235;1;680;;11103
253;MDF Zwart 31mm KrakAwxB;31;H;2210;395;1;680;;11104
254;Dummy 58mm;58;H;2800;2070;0;;;100170
255;Dummy 19mm NOOTxNOOT;19;H;3600;1220;0;;;100171
256;BRUT MDF 30MM;30;A;2800;2070;0;140;GB00031307;140
257;FineerPlaat AFQMxB 19mm Int bloom;19;H;1835;469;20;692;GP00031265;692
258;FineerPlaat AFQMxB 19mm Int bloom;19;H;3045;469;13;692;GP00031266;693
259;Dummy 80mm;80;H;2800;2070;0;;;100172
260;MDF Zwart 20mm BxB Japandi;20;H;2800;2070;10;646;;646
261;Bodem 3050x1300;19;A;3050;1300;15;9;;9
262;Bodem 2800x800;8;A;2800;800;1;10;;10
263;MDF 23mm AFQMxB;23;H;2800;2070;8;660;;660
264;Bodem 3050x800;10;A;3050;800;0;8;;8
265;Bodem 2800x1250;8;A;2800;2070;4;12;;12
266;Dekplaat 3050x1300;23;A;3050;1300;1;23;;23
267;OPGELET PLAATS NIET AANPASSEN BLUSVAT;1;A;2800;1575;1;999;;999
268;BRUT MDF 6MM;6;A;2440;1220;5;120;standaardplaat;120
269;MDF Zwart 19mm NOOTxNOOT;19;H;3050;1220;3;675;;676
270;BRUT MDF 3MM;3;A;3050;2100;2;100;;101
271;BRUT MDF 9MM GROEN;9;A;3050;1220;1;122;;122
272;BRUT MDF 30MM GROEN;30;A;3050;1220;1;136;;136
273;BRUT MDF 38MM GROEN;38;A;3050;1220;0;144;;144
274;Dummy 50mm;50;H;2800;2070;98;;;100173
275;BRUT MDF 28MM;28;A;3050;1220;93;;;100174
276;Dummy 85mm;85;H;2800;2070;100;;;100175
277;Dummy 19.5mm SCRATCH;19.5;H;3050;1250;100;;;100176
278;Dummy 31.5mm SCRATCH;31.5;H;3050;1250;100;;;100177
279;Dummy 51.5mm SCRATCH;51.5;H;3050;1250;100;;;100178
280;MDF 23mm NootxNoot;23;H;1495;430;1;411;;11530
281;MDF 23mm NootxNoot;23;H;3050;800;1;411;;11533
282;MDF 4mm NOOTxNOOT;4;H;1800;630;0;602;Reststrook GP00030992;500
283;MDF 4mm NOOTxNOOT;4;H;2300;630;0;602;Reststrook GP00030992;501
284;MDF 4mm NOOTxNOOT;4;H;2800;630;0;602;Reststrook GP00030992;502
285;MDF Zwart 13mm NOOTxNOOT;13;H;1800;630;0;624;Reststrook  GP00030993;509
286;MDF Zwart 13mm NOOTxNOOT;13;H;2300;630;0;624;Reststrook  GP00030993;510
287;MDF Zwart 13mm NOOTxNOOT;13;H;2800;630;0;624;Reststrook  GP00030993;511
288;MDF 31mm NOOTxNOOT;31;H;1800;630;0;669;Reststrook  GP00030996;548
289;MDF 31mm NOOTxNOOT;31;H;2300;630;0;669;Reststrook  GP00030996;549
290;MDF 31mm NOOTxNOOT;31;H;2800;630;0;669;Reststrook  GP00030996;550
291;Mdf zwart 19mm BXB japandi;19;H;1800;630;0;401;Reststrook  GP00031138;560
292;Mdf zwart 19mm BXB japandi;19;H;2300;630;0;401;Reststrook  GP00031138;561
293;Mdf zwart 19mm BXB japandi;19;H;2800;630;6;401;Reststrook  GP00031138;562
294;MDF 23mm NOOTxNOOT;23;H;1800;630;0;411;Reststrook  GP00030995;566
295;MDF 23mm NOOTxNOOT;23;H;2300;630;0;411;Reststrook  GP00030995;567
296;MDF 23mm NOOTxNOOT;23;H;2800;630;0;411;Reststrook  GP00030995;568
297;MDF Zwart 19mm NOOTxNOOT;19;H;1800;630;0;412;Reststrook  GP00031192;569
298;MDF Zwart 19mm NOOTxNOOT;19;H;2300;630;0;412;Reststrook  GP00031192;570
299;MDF Zwart 19mm NOOTxNOOT;19;H;2800;630;1;412;Reststrook  GP00031192;571
300;MDF 19MM EikAwerenxBweinig weren;19;H;2800;2070;0;641;;641
301;HSP 23mm BxB;23;H;1105;560;1;730;;11138
302;HSP 23mm BxB;23;H;839;800;1;730;;11168
303;HSP 23mm BxB;23;H;1100;570;1;730;;11182
304;MDF 32mm SCRATCH;32;H;3050;1270;0;603;;603
305;Dummy 150mm;150;H;2800;2070;100;;;100179
306;Dekplaat HSP 12MM;12;A;3050;1300;2;22;;22
307;HSP 19mm BxB;19;H;3050;1250;0;720;;724
308;BRUT MDF 6MM;6;A;925;273;1;120;;11684
309;MDF Zwart 20mm BxB Japandi;20;H;2800;360;1;646;;11696
310;MDF 20mm SCRATCH;20;H;3050;1250;5;656;;656
311;MDF Zwart 31mm KrakAwxB;31;H;1780;780;1;680;;11734
312;HDF 4 zwart;4;A;2800;535;1;150;;11761
313;HDF 4 zwart;4;A;1535;550;1;150;;11762
314;MDF 19mm EikAwerenxB;19;H;1213;540;1;640;;11832
315;BRUT MDF 6MM;6;A;760;520;1;120;;11905
316;MDF 19mm EikAwerenxB;19;H;965;500;1;640;;11929
317;MDF Zwart 19mm KrakAwxB;19;H;605;800;1;670;;11947
318;MDF 19mm EikAwerenxB;19;H;710;630;1;640;;11964
319;MULTI POP 15mm;15;A;2500;1220;5;251;;251
320;HSP 18mm AxA BULO;18;H;2800;1300;11;714;;714
321;Dekplaat HSP 12MM;12;A;2800;1300;0;21;;21
322;Mdf zwart 19mm BXB japandi;19;H;1485;680;1;401;;11980
323;BRUT MDF 25MM ZWART;25;A;2800;2070;10;135;;135
324;Mdf zwart 19mm BXB japandi;19;H;1300;670;1;401;;11993
325;BRUT MDF 25MM ZWART;25;A;2800;1445;1;135;;1016
326;HSP 19mm BxB;19;H;1730;630;1;720;Reststrook GP00031230;12149
327;Bodem 1800x630;19;A;1800;630;4;14;;14
328;Bodem 2300x630;19;A;2300;630;4;15;;15
329;Bodem 2800x630;19;A;2800;630;4;16;;16
330;MDF 23mm BxB;23;H;2800;600;1;662;;12160
331;MDF 23mm BxB;23;H;680;2070;1;662;;12162
332;MDF 23mm BxB;23;H;2100;390;1;662;;12163
333;HSP 23mm BxB;23;H;590;2070;1;730;;12166
334;MDF 23mm BxB;23;H;635;2070;1;662;;12185
335;Dummy 100mm;100;H;2800;2070;100;;;100180
336;BRUT MDF 30MM GROEN;30;A;2300;172;1;136;;12197
337;MDF Zwart 19mm BxB Japandi;19;H;780;2070;1;645;;12219
338;MDF Zwart 19mm BxB Japandi;19;H;780;2070;1;645;;12220
339;MDF 19mm EikAwerenxB;19;H;1700;400;1;640;;12228
340;dekplaat HSP 23mm;23;A;2800;2070;3;31;;31
341;MDF 13mm AWxB;13;H;2800;630;0;623;;572
342;HSP BxB 26mm;26;H;2800;2070;17;740;;740
343;HSP BxB 26mm;26;H;2800;810;1;740;;12305
344;BRUT MDF 12MM;12;A;2800;2070;8;130;;130
345;MDF 23mm BxB;23;H;1045;610;1;662;;12319
346;Massief Am eik 73;73;H;3050;1300;0;;;100181
347;Massief Am eik 58;58;H;3050;1300;0;;;100182
348;BRUT MDF 18MM;18;A;700;460;1;133;;12407
349;BRUT MDF 18MM;18;A;700;460;1;133;;12408
350;BRUT MDF 18MM;18;A;700;460;1;133;;12409
351;BRUT MDF 18MM;18;A;700;460;1;133;;12410
352;BRUT MDF 18MM;18;A;700;460;1;133;;12411
353;BRUT MDF 18MM;18;A;700;460;1;133;;12412
354;BRUT MDF 18MM;18;A;700;460;1;133;;12413
355;BRUT MDF 18MM;18;A;700;460;1;133;;12417
356;BRUT MDF 18MM;18;A;730;540;1;133;;12418
357;BRUT MDF 18MM;18;A;730;540;1;133;;12420
358;BRUT MDF 18MM;18;A;730;540;1;133;;12421
359;BRUT MDF 18MM;18;A;730;540;1;133;;12422
360;BRUT MDF 18MM;18;A;730;540;1;133;;12423
361;BRUT MDF 18MM;18;A;730;540;1;133;;12424
362;BRUT MDF 18MM;18;A;730;540;1;133;;12427
363;BRUT MDF 18MM;18;A;730;540;1;133;;12428
364;BRUT MDF 18MM;18;A;730;540;1;133;;12430
365;MDF 23mm BxB;23;H;640;840;1;662;;12483
366;MDF 23mm BxB;23;H;2800;425;1;662;;12515
367;Dummy 42mm;42;H;2800;2070;100;;;100183
368;HSP BxB 26mm;26;H;530;1470;1;740;;12549
369;HSP 26mm BxB;26;H;1800;630;0;740;;573
370;HSP 26mm BxB;26;H;2300;630;0;740;;574
371;HSP 26mm BxB;26;H;2800;630;5;740;;575
372;BRUT MDF 18MM GROEN;18;A;1820;1080;1;134;;1002
373;BRUT MDF 18MM;18;A;1200;458;1;133;;12586
374;BRUT MDF 18MM;18;A;1200;458;1;133;;12587
375;BRUT MDF 18MM;18;A;3050;1310;0;132;;132
376;BRUT MDF 25MM ZWART;25;A;2800;855;1;135;;1007
377;MDF 13mm AFQMxB;13;H;3050;1220;0;620;;625
378;MULTI 15mm Sokkel;15;A;2440;850;1;257;;1003
379;HSP 23mm BxB;23;H;1435;570;1;730;;12648
380;MDF 7mm AFQMxB;7;H;3050;1310;14;490;;490
381;MDF 19mm EikAwerenxB;19;H;720;785;1;640;;12662
382;MDF 19mm EikAwerenxB;19;H;1150;625;1;640;;12663
383;MDF 13mm AWxB;13;H;2300;630;1;623;;12687
384;MDF 13mm AWxB;13;H;2440;410;1;623;;12688
385;MDF Zwart 19mm KrakAwxB;19;H;1680;430;1;670;;12695
386;MDF Zwart 31mm KrakAwxB;31;H;850;600;1;680;;12698
387;MDF Zwart 31mm KrakAwxB;31;H;850;600;1;680;;12699
388;MDF Zwart 31mm KrakAwxB;31;H;1880;375;1;680;;12700
389;MDF 31mm BxB;31;H;645;630;1;667;;12708
390;MDF Zwart 19mm KrakAwxB;19;H;1880;530;1;670;;12713
391;MDF 13mm BxB;13;H;2440;1220;0;621;;623
392;HSP 08mm Melamine Grijs grafiet;8;A;2800;2100;0;725;;725
393;HSP 18mm Melamine Grijs grafiet;18;A;2800;2100;0;726;;726
394;HSP 22mm Melamine Grijs grafiet;22;A;2800;2100;2;727;;727
395;MDF Zwart 19mm KrakAwxB;19;H;1130;595;1;670;;12730
396;Mdf zwart 19mm BXB japandi;19;H;545;815;1;401;;12732
397;BRUT MDF 30MM;30;A;1400;990;1;140;;1006
398;BRUT MDF 30MM;30;A;2380;840;1;140;;1021
399;BRUT MDF 30MM;30;A;1920;1200;1;140;;1024
400;BRUT MDF 18MM;18;A;725;495;1;133;;12756
401;BRUT MDF 18MM;18;A;725;495;1;133;;12757
402;BRUT MDF 18MM;18;A;725;495;1;133;;12758
403;HSP 18mm Melamine Antraciet Quartz;18;A;2800;2070;0;728;;728
404;HSP 18mm Melamine Alu-Grijs;18;H;2800;2070;0;729;;729
405;HSP 08mm Melamine Grijs grafiet;8;A;1975;980;1;725;;1015
406;HSP BxB 26mm;26;H;2800;360;1;740;;12826
